"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008202","steroid metabolic process","22/417","345/18860",0.063768115942029,2.88409272581934,5.31081944598448,9.59953815538662e-06,0.000900249370913697,0.000787679690490774,"NR5A2/PROX1/AQP8/DHRS9/UGT1A1/UGT1A4/UGT1A8/UGT1A7/UGT1A5/UGT1A3/ACADL/APOL1/UGT2B15/UGT2B7/UGT2B10/UGT2B17/GC/CFTR/OSBPL3/INHBA/EPHX2/MIR27B",22
"GO:0009636","response to toxic substance","19/417","270/18860",0.0703703703703704,3.18269828581579,5.43184625708282,9.83781690159724e-06,0.000900628713967652,0.00078801159943621,"PDZK1/GPX2/AQP8/MT1G/NQO1/UGT1A10/UGT1A7/PXDN/CP/ALB/EDNRA/GPX8/SLC22A3/GSTA1/CD36/EPHX2/LCN2/ALDH1A1/SLC6A14",19
"GO:1903034","regulation of response to wounding","15/417","179/18860",0.0837988826815642,3.79004059322374,5.63960324686077,1.09941626097888e-05,0.000944695269646244,0.000826567950664403,"PLAU/TSPAN8/DSG2/CEACAM1/REG3G/REG3A/FAP/EPHA4/FERMT1/KLKB1/F11/CD109/CD36/ANGPT2/PLAT",15
"GO:0007229","integrin-mediated signaling pathway","12/417","117/18860",0.102564102564103,4.63875053803111,5.9365924519066,1.1019617067987e-05,0.000944695269646244,0.000826567950664403,"PLAU/ITGA11/SEMA7A/ITGA3/ITGB4/CEACAM1/COL3A1/ITGB6/FN1/FERMT1/ITGA2/ADAM9",12
"GO:0016485","protein processing","18/417","248/18860",0.0725806451612903,3.28266419122766,5.44105253382061,1.10562515303202e-05,0.000944695269646244,0.000826567950664403,"ERO1B/PLAU/CUZD1/TMPRSS4/BACE1/MMP14/ANPEP/COMP/KLK1/IL1R2/KLKB1/F11/CORIN/PCSK1/ADAM9/SLC30A8/PLAT/PRSS3",18
"GO:0061041","regulation of wound healing","13/417","139/18860",0.0935251798561151,4.22993978917585,5.74710166296474,1.31063215341037e-05,0.00107268098308294,0.000938549975205824,"PLAU/TSPAN8/CEACAM1/REG3G/REG3A/FAP/FERMT1/KLKB1/F11/CD109/CD36/ANGPT2/PLAT",13
"GO:0002062","chondrocyte differentiation","12/417","119/18860",0.100840336134454,4.56078834411462,5.85915294270201,1.31120952418461e-05,0.00107268098308294,0.000938549975205824,"NR5A2/COL11A1/GREM1/COMP/COL3A1/MBOAT2/SULF2/TGFBI/ADAMTS12/RUNX2/SULF1/LOXL2",12
"GO:0015711","organic anion transport","26/417","466/18860",0.055793991416309,2.52344047508774,5.00716533295936,1.63422933405463e-05,0.00128826135330909,0.00112717357748979,"SLC2A1/SLC26A9/ACSL5/SLC16A12/SLC1A2/SLC43A1/SLCO1B3/SLC39A5/PLA2G1B/ABAT/SLC16A3/CEACAM1/SLC3A1/UGT1A3/PLA2R1/SLC6A6/SLC4A4/SLC17A4/SLC16A10/SLC22A3/SLC44A4/CD36/CFTR/SLC7A2/FABP4/SLC6A14",26
"GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","24/417","411/18860",0.0583941605839416,2.64104045230968,5.05784314576518,1.65477984932517e-05,0.00128826135330909,0.00112717357748979,"DKK1/SLC39A5/ERO1A/GREM1/FBN1/ONECUT1/CDH3/ITGA3/COMP/LTBP1/TNFAIP6/COL3A1/ITGB6/FERMT1/LEF1/HPGD/RUNX2/CD109/COL1A2/INHBA/ADAM9/SULF1/MIR27B/CHRDL1",24
"GO:0045833","negative regulation of lipid metabolic process","12/417","122/18860",0.0983606557377049,4.44863781106262,5.74615660689024,1.69010013513617e-05,0.00128826135330909,0.00112717357748979,"PROX1/CEACAM1/UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A3/UGT1A9/ACADL/MIR27B",12
"GO:0030195","negative regulation of blood coagulation","8/417","52/18860",0.153846153846154,6.95812580704667,6.46921533816973,1.71466033828048e-05,0.00128826135330909,0.00112717357748979,"PLAU/TSPAN8/CEACAM1/FAP/KLKB1/F11/ANGPT2/PLAT",8
"GO:0050673","epithelial cell proliferation","27/417","496/18860",0.0544354838709677,2.46199814342075,4.96152966021677,1.74225202528147e-05,0.00128826135330909,0.00112717357748979,"PROX1/CXCL12/MMP12/EFNB2/MMP14/CDH3/SERPINB5/CEACAM1/REG3G/NRP2/REG3A/FAP/IGFBP5/FERMT1/SULF2/COL8A1/CLDN18/AREG/EGF/RUNX2/CD109/PKHD1/SULF1/FGL1/LOXL2/SDR16C5/MIR27B",27
"GO:0008210","estrogen metabolic process","7/417","39/18860",0.17948717948718,8.11781344155445,6.69066263213688,2.05011757412628e-05,0.00148730227783312,0.00130132587227559,"UGT1A1/UGT1A7/UGT1A3/UGT2B15/UGT2B7/UGT2B10/UGT2B17",7
