"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"7898856",-0.167189333333333,4.37182733333333,-2.4302738226554,0.0170500858181751,0.0461527358166805,-3.79417572040653,NA,NA
"7898875",-0.172929111111112,7.76618477777778,-2.46124477363742,0.0157319668144117,0.0434027283988199,-3.72361034433071,"RPL11","ribosomal protein L11"
"7898881",-0.127946888888888,5.539895,-2.55576239788063,0.0122543632580252,0.0357390451235297,-3.50345592113599,"ELOA","elongin A"
"7898916",-0.098862,3.22517766666667,-2.6901738200448,0.00849681189137641,0.0269821210529255,-3.17810070420265,"GRHL3","grainyhead like transcription factor 3"
"7898957",-0.360865555555555,5.49227188888889,-4.46779795921904,2.26858517737631e-05,0.000238412033074906,2.31618591331342,"RCAN3","RCAN family member 3"
"7898967",-0.49174911111111,5.47792188888889,-3.78187008746633,0.000278197752568026,0.00180808050700718,-0.0434050807024393,"NCMAP","non-compact myelin associated protein"
"7898975",-0.109902222222222,6.40726355555555,-2.80402750216567,0.00616946745163647,0.0210179792142192,-2.89144970086813,"SRRM1","serine and arginine repetitive matrix 1"
"7898988",0.445540000000001,8.080774,4.59492909720241,1.3888675047101e-05,0.000162131888368281,2.78154908874367,"CLIC4","chloride intracellular channel 4"
"7899005",0.299770444444444,8.01605766666667,4.52488323588322,1.82171091985832e-05,0.000199965675077528,2.52413773955173,"TMEM50A","transmembrane protein 50A"
"7899023",-0.265999333333336,5.48443411111111,-4.06474793055635,0.000101976531695422,0.000811455483328315,0.897227052321512,"LDLRAP1","low density lipoprotein receptor adaptor protein 1"
"7899043",-0.153918444444444,6.34029988888889,-2.65010237262309,0.00948958251048795,0.0293690777760803,-3.27658962411329,"SELENON","selenoprotein N"
"7899057",-0.204943777777777,5.734153,-4.87578671572434,4.57671048459359e-06,6.60955752775049e-05,3.83752217443155,"MTFR1L","mitochondrial fission regulator 1 like"
"7899069",-0.135,2.11491044444444,-4.02357438903992,0.000118338149319594,0.000913742867282559,0.757368314191293,NA,NA
"7899087",-0.245037777777778,5.37243711111111,-3.1822655322722,0.00199992477372826,0.00870958339006806,-1.86909144531825,"PDIK1L","PDLIM1 interacting kinase 1 like"
"7899093",-0.229965777777776,4.12481888888889,-3.40817165105786,0.000976096671583777,0.00494367277402668,-1.20948745168939,"FAM110D","family with sequence similarity 110 member D"
"7899096",-0.240968666666667,3.91475544444444,-3.07448128530407,0.00278378440345902,0.0112999257513299,-2.17113023566058,"ZNF593","zinc finger protein 593"
"7899153",0.303166000000001,6.28349588888889,4.82865923542784,5.5271575139946e-06,7.7495633934682e-05,3.65774940349582,"SH3BGRL3","SH3 domain binding glutamate rich protein like 3"
"7899192",0.167904666666668,5.16776344444444,2.47736327791682,0.0150826688851209,0.0420819143756216,-3.6865767337149,"RPS6KA1","ribosomal protein S6 kinase A1"
"7899265",0.989800444444445,4.82352711111111,8.64975636626702,1.70876898662693e-13,9.48662536056399e-11,20.3294690558362,"SFN","stratifin"
"7899284",0.327590666666667,5.50980022222222,3.99869452356359,0.000129414537239381,0.000978028344388398,0.673333683855184,"TRNP1","TMF1 regulated nuclear protein 1"
"7899287",-0.215909777777779,5.35527022222222,-3.12760984503342,0.00236730144379336,0.00991751928324922,-2.02329379055367,NA,NA
"7899289",-0.141000888888889,4.95356022222222,-2.95099501646234,0.00402802128354013,0.0150980195318774,-2.50678592363182,"WDTC1","WD and tetratricopeptide repeats 1"
"7899343",-0.211804,5.70037088888889,-3.09951171634335,0.00257974450494724,0.0106164852620559,-2.10173424147454,"GPR3","G protein-coupled receptor 3"
"7899348",-0.107072444444444,3.03649466666667,-2.97860873248805,0.0037118834741139,0.0141631461821562,-2.43270314977222,NA,NA
"7899375",-0.256660666666666,2.13333522222222,-3.07365984437814,0.00279072781281059,0.0113249256716375,-2.17339995098063,NA,NA
"7899392",-0.105375333333334,3.16154566666667,-2.50957593688352,0.0138564901072477,0.0393568489675455,-3.61193517459743,"SCARNA1","small Cajal body-specific RNA 1"
"7899407",-0.466492222222221,4.38500033333333,-2.926773278696,0.00432559120651181,0.0159137877584796,-2.57130134937865,"SMPDL3B","sphingomyelin phosphodiesterase acid like 3B"
"7899417",-0.156297555555556,4.42035611111111,-2.39317743112624,0.0187579192781411,0.0496354144491894,-3.87766620931961,"XKR8","XK related 8"
"7899462",0.314013777777778,4.70872044444445,4.61773884252539,1.27080987612837e-05,0.000151161970803255,2.86589882644775,"RCC1","regulator of chromosome condensation 1"
"7899462",0.314013777777778,4.70872044444445,4.61773884252539,1.27080987612837e-05,0.000151161970803255,2.86589882644775,"SNHG3","small nucleolar RNA host gene 3"
